Benchmark,Model Size,Params (B),Method,Accuracy,Avg Tokens,Token Savings,Latency(s)
GSM8K,7B,7.0,LoRAGuided0.8,89.69,238.92,20.31,0.183
GSM8K,7B,7.0,LoRASoft0.8,88.93,225.88,24.66,0.183
GSM8K,7B,7.0,LoRA0.9,89.99,274.06,8.59,0.209
GSM8K,7B,7.0,LoRAGuided0.9,90.45,254.03,15.27,0.195
GSM8K,7B,7.0,LoRASoft0.9,89.54,237.92,20.64,0.197
GSM8K,14B,14.0,Original,92.42,314.27,0.0,0.475
GSM8K,14B,14.0,BeConcise,94.39,227.71,27.54,0.393
GSM8K,14B,14.0,OnlyNumbers,37.45,8.97,97.15,0.057
GSM8K,14B,14.0,AbbreWords,91.66,143.07,54.48,0.263
GSM8K,14B,14.0,LC-Prompt,92.34,107.9,65.67,0.2
GSM8K,14B,14.0,Truncation0.5,33.36,245.34,21.93,0.193
GSM8K,14B,14.0,Truncation0.6,54.97,276.53,12.01,0.242
GSM8K,14B,14.0,Truncation0.7,73.16,295.92,5.84,0.296
GSM8K,14B,14.0,Truncation0.8,84.15,306.61,2.44,0.353
GSM8K,14B,14.0,Truncation0.9,90.45,311.83,0.78,0.415
GSM8K,14B,14.0,LLMLingua0.5,49.51,300.69,4.32,0.443
GSM8K,14B,14.0,LLMLingua0.6,64.67,304.9,2.98,0.453
GSM8K,14B,14.0,LLMLingua0.7,77.48,312.28,0.63,0.453
GSM8K,14B,14.0,LLMLingua0.8,87.41,313.31,0.31,0.465
GSM8K,14B,14.0,LLMLingua0.9,91.21,314.24,0.01,0.465
GSM8K,14B,14.0,LoRA0.5,89.76,174.83,44.37,0.321
GSM8K,14B,14.0,LoRAGuided0.5,90.83,168.09,46.51,0.28
GSM8K,14B,14.0,LoRASoft0.5,92.49,165.33,47.39,0.29
GSM8K,14B,14.0,LoRA0.6,92.42,201.9,35.76,0.376
GSM8K,14B,14.0,LoRAGuided0.6,92.27,189.07,39.84,0.325
GSM8K,14B,14.0,LoRASoft0.6,92.12,182.41,41.96,0.33
GSM8K,14B,14.0,LoRA0.7,93.18,237.17,24.53,0.412
GSM8K,14B,14.0,LoRAGuided0.7,92.57,219.22,30.24,0.377
GSM8K,14B,14.0,LoRASoft0.7,92.57,196.64,37.43,0.326
GSM8K,14B,14.0,LoRA0.8,93.93,268.13,14.68,0.441
GSM8K,14B,14.0,LoRAGuided0.8,93.03,245.39,21.92,0.405
GSM8K,14B,14.0,LoRASoft0.8,93.4,205.91,34.48,0.359
GSM8K,14B,14.0,LoRA0.9,93.71,286.81,8.74,0.468
GSM8K,14B,14.0,LoRAGuided0.9,93.33,250.93,20.15,0.402
GSM8K,14B,14.0,LoRASoft0.9,93.63,211.34,32.75,0.373
MATH-500,0.5B,0.5,Original,25.8,553.48,0.0,0.252
MATH-500,0.5B,0.5,BeConcise,25.2,550.22,0.59,0.25
MATH-500,0.5B,0.5,OnlyNumbers,23.0,535.54,3.24,0.251
MATH-500,0.5B,0.5,AbbreWords,24.8,550.61,0.52,0.25
MATH-500,0.5B,0.5,LC-Prompt,20.8,582.87,-5.31,0.256
MATH-500,0.5B,0.5,Truncation0.5,20.8,424.42,23.32,0.127
MATH-500,0.5B,0.5,Truncation0.6,23.0,467.57,15.52,0.151
MATH-500,0.5B,0.5,Truncation0.7,24.6,500.44,9.58,0.174
MATH-500,0.5B,0.5,Truncation0.8,25.4,523.95,5.34,0.195
MATH-500,0.5B,0.5,Truncation0.9,25.8,540.66,2.32,0.223
MATH-500,0.5B,0.5,LLMLingua0.5,9.0,516.59,6.67,0.245
MATH-500,0.5B,0.5,LLMLingua0.6,14.0,538.92,2.63,0.256
MATH-500,0.5B,0.5,LLMLingua0.7,17.8,555.25,-0.32,0.252
MATH-500,0.5B,0.5,LLMLingua0.8,21.6,578.08,-4.44,0.251
MATH-500,0.5B,0.5,LLMLingua0.9,24.4,585.14,-5.72,0.252
MATH-500,0.5B,0.5,LoRA0.5,13.8,397.37,28.21,0.122
MATH-500,0.5B,0.5,LoRAGuided0.5,15.2,378.21,31.67,0.122
MATH-500,0.5B,0.5,LoRASoft0.5,12.6,401.02,27.55,0.123
MATH-500,0.5B,0.5,LoRA0.6,16.8,429.02,22.49,0.146
MATH-500,0.5B,0.5,LoRAGuided0.6,15.2,414.21,25.16,0.15
MATH-500,0.5B,0.5,LoRASoft0.6,14.4,440.02,20.5,0.151
MATH-500,0.5B,0.5,LoRA0.7,16.2,460.78,16.75,0.175
MATH-500,0.5B,0.5,LoRAGuided0.7,14.8,450.16,18.67,0.176
MATH-500,0.5B,0.5,LoRASoft0.7,12.8,477.95,13.65,0.175
MATH-500,0.5B,0.5,LoRA0.8,17.4,472.11,14.7,0.197
MATH-500,0.5B,0.5,LoRAGuided0.8,15.8,479.53,13.36,0.196
MATH-500,0.5B,0.5,LoRASoft0.8,14.8,493.64,10.81,0.201
MATH-500,0.5B,0.5,LoRA0.9,18.2,495.2,10.53,0.225
MATH-500,0.5B,0.5,LoRAGuided0.9,16.8,495.0,10.57,0.225
MATH-500,0.5B,0.5,LoRASoft0.9,14.8,514.27,7.08,0.229
MATH-500,0.5B,0.5,LoRAAdaptive,17.8,498.24,9.98,0.227
MATH-500,1.5B,1.5,Original,43.6,572.14,0.0,0.339
MATH-500,1.5B,1.5,BeConcise,44.4,554.56,3.07,0.339
MATH-500,1.5B,1.5,OnlyNumbers,41.8,567.14,0.87,0.341
MATH-500,1.5B,1.5,AbbreWords,45.0,577.18,-0.88,0.341
MATH-500,1.5B,1.5,LC-Prompt,39.6,541.19,5.41,0.343
MATH-500,1.5B,1.5,Truncation0.5,31.6,434.52,24.05,0.147
MATH-500,1.5B,1.5,Truncation0.6,37.2,479.22,16.24,0.18
MATH-500,1.5B,1.5,Truncation0.7,40.0,512.07,10.5,0.216
MATH-500,1.5B,1.5,Truncation0.8,42.0,537.41,6.07,0.254
MATH-500,1.5B,1.5,Truncation0.9,43.2,557.12,2.63,0.297
MATH-500,1.5B,1.5,LLMLingua0.5,13.2,524.11,8.39,0.319
MATH-500,1.5B,1.5,LLMLingua0.6,24.6,550.79,3.73,0.323
MATH-500,1.5B,1.5,LLMLingua0.7,33.0,568.65,0.61,0.33
MATH-500,1.5B,1.5,LLMLingua0.8,38.6,575.24,-0.54,0.333
MATH-500,1.5B,1.5,LLMLingua0.9,42.8,565.6,1.14,0.334
MATH-500,1.5B,1.5,LoRA0.5,24.0,362.02,36.73,0.144
MATH-500,1.5B,1.5,LoRAGuided0.5,23.8,356.64,37.67,0.145
MATH-500,1.5B,1.5,LoRASoft0.5,19.4,352.96,38.31,0.147
MATH-500,1.5B,1.5,LoRA0.6,29.8,405.47,29.13,0.177
MATH-500,1.5B,1.5,LoRAGuided0.6,29.2,392.27,31.44,0.177
MATH-500,1.5B,1.5,LoRASoft0.6,27.6,393.17,31.28,0.178
MATH-500,1.5B,1.5,LoRA0.7,32.6,447.82,21.73,0.214
MATH-500,1.5B,1.5,LoRAGuided0.7,31.0,444.77,22.26,0.213
MATH-500,1.5B,1.5,LoRASoft0.7,29.8,438.45,23.37,0.215
MATH-500,1.5B,1.5,LoRA0.8,36.8,495.43,13.41,0.252
MATH-500,1.5B,1.5,LoRAGuided0.8,34.6,478.85,16.31,0.256
MATH-500,1.5B,1.5,LoRASoft0.8,37.0,479.02,16.28,0.259
MATH-500,1.5B,1.5,LoRA0.9,37.6,521.08,8.92,0.295
MATH-500,1.5B,1.5,LoRAGuided0.9,36.4,508.11,11.19,0.298
MATH-500,1.5B,1.5,LoRASoft0.9,35.0,507.0,11.39,0.301
MATH-500,1.5B,1.5,LoRAAdaptive,35.4,492.89,13.85,0.299
MATH-500,3B,3.0,Original,55.6,580.37,0.0,0.507
MATH-500,3B,3.0,BeConcise,54.0,516.73,10.97,0.512
MATH-500,3B,3.0,OnlyNumbers,55.8,518.87,10.6,0.514
MATH-500,3B,3.0,AbbreWords,54.6,566.21,2.44,0.515
MATH-500,3B,3.0,LC-Prompt,53.2,507.39,12.57,0.52
MATH-500,3B,3.0,Truncation0.5,34.8,439.54,24.27,0.209
MATH-500,3B,3.0,Truncation0.6,43.4,486.55,16.17,0.262
MATH-500,3B,3.0,Truncation0.7,47.8,521.54,10.14,0.318
MATH-500,3B,3.0,Truncation0.8,51.8,548.22,5.54,0.379
MATH-500,3B,3.0,Truncation0.9,54.0,566.92,2.32,0.444
MATH-500,3B,3.0,LLMLingua0.5,22.2,508.51,12.38,0.471
MATH-500,3B,3.0,LLMLingua0.6,36.8,536.23,7.61,0.491
MATH-500,3B,3.0,LLMLingua0.7,43.2,553.48,4.63,0.495
MATH-500,3B,3.0,LLMLingua0.8,51.0,574.49,1.01,0.499
MATH-500,3B,3.0,LLMLingua0.9,53.8,569.23,1.92,0.503
MATH-500,3B,3.0,LoRA0.5,33.4,348.65,39.93,0.211
MATH-500,3B,3.0,LoRAGuided0.5,34.6,335.75,42.15,0.21
MATH-500,3B,3.0,LoRASoft0.5,34.8,330.99,42.97,0.21
MATH-500,3B,3.0,LoRA0.6,39.0,406.66,29.93,0.263
MATH-500,3B,3.0,LoRAGuided0.6,40.6,391.14,32.61,0.259
MATH-500,3B,3.0,LoRASoft0.6,40.6,380.02,34.52,0.263
MATH-500,3B,3.0,LoRA0.7,45.8,462.66,20.28,0.318
MATH-500,3B,3.0,LoRAGuided0.7,48.2,435.91,24.89,0.315
MATH-500,3B,3.0,LoRASoft0.7,43.4,424.93,26.78,0.321
MATH-500,3B,3.0,LoRA0.8,49.2,502.43,13.43,0.379
MATH-500,3B,3.0,LoRAGuided0.8,52.4,473.01,18.5,0.379
MATH-500,3B,3.0,LoRASoft0.8,50.6,453.88,21.79,0.383
MATH-500,3B,3.0,LoRA0.9,54.2,538.74,7.17,0.446
MATH-500,3B,3.0,LoRAGuided0.9,54.6,499.2,13.99,0.445
MATH-500,3B,3.0,LoRASoft0.9,56.2,479.93,17.31,0.45
MATH-500,3B,3.0,LoRAAdaptive,47.2,506.69,12.7,0.446
MATH-500,7B,7.0,Original,61.0,571.68,0.0,0.657
MATH-500,7B,7.0,BeConcise,61.2,524.54,8.25,0.654
MATH-500,7B,7.0,OnlyNumbers,61.4,446.35,21.92,0.66
MATH-500,7B,7.0,AbbreWords,60.8,452.25,20.89,0.655
MATH-500,7B,7.0,LC-Prompt,61.0,422.73,26.05,0.619
MATH-500,7B,7.0,Truncation0.5,40.6,438.67,23.27,0.251
MATH-500,7B,7.0,Truncation0.6,47.6,483.33,15.45,0.32
MATH-500,7B,7.0,Truncation0.7,52.2,516.96,9.57,0.395
MATH-500,7B,7.0,Truncation0.8,55.8,542.31,5.14,0.475
MATH-500,7B,7.0,Truncation0.9,59.4,559.9,2.06,0.563
MATH-500,7B,7.0,LLMLingua0.5,31.2,517.79,9.43,0.598
MATH-500,7B,7.0,LLMLingua0.6,44.8,543.67,4.9,0.621
MATH-500,7B,7.0,LLMLingua0.7,53.0,552.68,3.32,0.632
MATH-500,7B,7.0,LLMLingua0.8,59.6,564.02,1.34,0.639
MATH-500,7B,7.0,LLMLingua0.9,61.8,561.74,1.74,0.647
MATH-500,7B,7.0,LoRA0.5,43.8,337.21,41.01,0.257
MATH-500,7B,7.0,LoRAGuided0.5,44.8,321.72,43.72,0.258
MATH-500,7B,7.0,LoRASoft0.5,48.4,318.16,44.35,0.262
MATH-500,7B,7.0,LoRA0.6,51.4,391.12,31.58,0.326
MATH-500,7B,7.0,LoRAGuided0.6,50.8,375.75,34.27,0.328
MATH-500,7B,7.0,LoRASoft0.6,50.4,361.82,36.71,0.333
MATH-500,7B,7.0,LoRA0.7,56.4,445.87,22.01,0.401
MATH-500,7B,7.0,LoRAGuided0.7,56.6,431.25,24.56,0.402
MATH-500,7B,7.0,LoRASoft0.7,55.4,411.99,27.93,0.41
MATH-500,7B,7.0,LoRA0.8,57.8,494.67,13.47,0.485
MATH-500,7B,7.0,LoRAGuided0.8,60.4,476.82,16.59,0.485
MATH-500,7B,7.0,LoRASoft0.8,59.2,462.89,19.03,0.492
MATH-500,7B,7.0,LoRA0.9,62.2,527.47,7.73,0.573
MATH-500,7B,7.0,LoRAGuided0.9,61.0,509.24,10.92,0.573
MATH-500,7B,7.0,LoRASoft0.9,60.8,489.86,14.31,0.576
MATH-500,7B,7.0,LoRAAdaptive,60.2,483.09,15.5,0.562
MATH-500,14B,14.0,Original,65.0,581.68,0.0,1.499
MATH-500,14B,14.0,BeConcise,66.8,505.55,13.09,1.483
MATH-500,14B,14.0,OnlyNumbers,26.4,29.45,94.94,0.827
MATH-500,14B,14.0,AbbreWords,66.2,407.31,29.98,1.474
MATH-500,14B,14.0,LC-Prompt,65.4,338.03,41.89,1.392
MATH-500,14B,14.0,Truncation0.5,39.6,442.75,23.88,0.554
MATH-500,14B,14.0,Truncation0.6,48.6,488.82,15.96,0.71
MATH-500,14B,14.0,Truncation0.7,55.4,523.22,10.05,0.883
MATH-500,14B,14.0,Truncation0.8,59.6,549.3,5.57,1.074
MATH-500,14B,14.0,Truncation0.9,63.6,568.39,2.28,1.277
MATH-500,14B,14.0,LLMLingua0.5,33.2,547.51,5.87,1.379
MATH-500,14B,14.0,LLMLingua0.6,48.8,572.15,1.64,1.406
MATH-500,14B,14.0,LLMLingua0.7,56.8,570.05,2.0,1.431
MATH-500,14B,14.0,LLMLingua0.8,61.2,581.85,-0.03,1.451
MATH-500,14B,14.0,LLMLingua0.9,64.8,581.47,0.04,1.471
MATH-500,14B,14.0,LoRA0.5,49.4,358.83,38.31,0.567
MATH-500,14B,14.0,LoRAGuided0.5,51.8,349.95,39.84,0.57
MATH-500,14B,14.0,LoRASoft0.5,53.8,350.51,39.74,0.582
MATH-500,14B,14.0,LoRA0.6,53.6,411.16,29.32,0.726
MATH-500,14B,14.0,LoRAGuided0.6,56.0,400.62,31.13,0.73
MATH-500,14B,14.0,LoRASoft0.6,58.4,390.6,32.85,0.744
MATH-500,14B,14.0,LoRA0.7,57.6,466.11,19.87,0.902
MATH-500,14B,14.0,LoRAGuided0.7,60.6,434.63,25.28,0.902
MATH-500,14B,14.0,LoRASoft0.7,62.2,421.87,27.47,0.921
MATH-500,14B,14.0,LoRA0.8,61.2,499.63,14.11,1.094
MATH-500,14B,14.0,LoRAGuided0.8,62.8,471.0,19.03,1.099
MATH-500,14B,14.0,LoRASoft0.8,64.6,444.45,23.59,1.118
MATH-500,14B,14.0,LoRA0.9,61.8,536.29,7.8,1.302
MATH-500,14B,14.0,LoRAGuided0.9,63.6,497.0,14.56,1.306
MATH-500,14B,14.0,LoRASoft0.9,64.4,462.06,20.56,1.326
MATH-500,14B,14.0,LoRAAdaptive,61.6,495.75,14.77,1.277
